DEN,49,BAL,27
CLE,10,MIA,23
DET,34,MIN,24
IND,21,OAK,17
JAC,2,KC,28
NYJ,18,TB,17
NO,23,ATL,17
PIT,9,TEN,16
CHI,24,CIN,21
CAR,7,SEA,12
BUF,21,NE,23
SF,34,GB,28
STL,27,ARI,24
DAL,36,NYG,31
WAS,27,PHI,33
SD,28,HOU,31

NE,13,NYJ,10
ATL,31,STL,24
PHI,30,SD,33
KC,17,DAL,16
IND,20,MIA,24
HOU,30,TEN,24
GB,38,WAS,20
BAL,14,CLE,6
BUF,24,CAR,23
CHI,31,MIN,30
TB,14,NO,16
ARI,25,DET,21
OAK,19,JAC,9
NYG,23,DEN,41
SEA,29,SF,3
CIN,20,PIT,10

PHI,16,KC,26
BAL,30,HOU,9
CAR,38,NYG,0
WAS,20,DET,27
TEN,20,SD,17
NO,31,ARI,7
NE,23,TB,3
CIN,34,GB,30
DAL,31,STL,7
MIN,27,CLE,31
MIA,27,ATL,23
NYJ,27,BUF,20
SF,7,IND,27
SEA,45,JAC,17
PIT,23,CHI,40
DEN,37,OAK,21

STL,11,SF,35
BUF,23,BAL,20
TB,10,ARI,13
MIN,34,PIT,27
KC,31,NYG,7
JAC,3,IND,37
HOU,20,SEA,23
CLE,17,CIN,6
DET,40,CHI,32
TEN,38,NYJ,13
OAK,14,WAS,24
DEN,52,PHI,20
SD,30,DAL,21
ATL,23,NE,30
NO,38,MIA,17

CLE,37,BUF,24
CIN,13,NE,6
GB,22,DET,9
IND,34,SEA,28
MIA,23,BAL,26
CHI,18,NO,26
NYG,21,PHI,36
TEN,17,KC,26
STL,34,JAC,20
ARI,22,CAR,6
DAL,48,DEN,51
SF,34,HOU,3
OAK,27,SD,17
ATL,28,NYJ,30

CHI,27,NYG,21
BAL,17,GB,19
BUF,24,CIN,27
CLE,17,DET,31
HOU,13,STL,38
KC,24,OAK,7
MIN,10,CAR,35
TB,20,PHI,31
NYJ,6,PIT,19
DEN,35,JAC,19
SEA,20,TEN,13
NE,30,NO,27
SF,32,ARI,20
DAL,31,WAS,16
SD,19,IND,9

ARI,22,SEA,34
ATL,31,TB,23
WAS,45,CHI,41
PHI,3,DAL,17
NYJ,30,NE,27
MIA,21,BUF,23
JAC,6,SD,24
CAR,30,STL,15
DET,24,CIN,27
TEN,17,SF,31
KC,17,HOU,16
PIT,19,BAL,16
GB,31,CLE,13
IND,39,DEN,33
NYG,23,MIN,7

TB,13,CAR,31
JAC,10,SF,42
KC,23,CLE,17
NE,27,MIA,17
NO,35,BUF,17
DET,31,DAL,30
PHI,7,NYG,15
OAK,21,PIT,18
CIN,49,NYJ,9
ARI,27,ATL,13
DEN,45,WAS,21
MIN,31,GB,44
STL,9,SEA,14

MIA,22,CIN,20
CAR,34,ATL,10
DAL,27,MIN,23
NYJ,26,NO,20
STL,21,TEN,28
BUF,13,KC,23
WAS,30,SD,24
OAK,20,PHI,49
SEA,27,TB,24
CLE,24,BAL,18
NE,55,PIT,31
HOU,24,IND,27
GB,20,CHI,27


MIN,34,WAS,27
GB,13,PHI,27
TEN,27,JAC,29
PIT,23,BUF,10
NYG,24,OAK,20
IND,8,STL,38
ATL,10,SEA,33
BAL,20,CIN,17
CHI,19,DET,21
SF,9,CAR,10
ARI,27,HOU,24
SD,20,DEN,28
NO,49,DAL,17
TB,22,MIA,19

TEN,27,IND,30
BUF,37,NYJ,14
TB,41,ATL,28
PIT,37,DET,27
PHI,24,WAS,16
JAC,14,ARI,27
HOU,23,OAK,28
CHI,23,BAL,20
CIN,41,CLE,20
MIA,20,SD,16
NYG,27,GB,13
SEA,41,MIN,20
NO,23,SF,20
DEN,27,KC,17
CAR,24,NE,20

ATL,13,NO,17
DET,21,TB,24
GB,26,MIN,26
HOU,6,JAC,13
KC,38,SD,41
MIA,16,CAR,20
CLE,11,PIT,27
STL,42,CHI,21
BAL,19,NYJ,3
OAK,19,TEN,23
ARI,40,IND,11
NYG,21,DAL,24
NE,34,DEN,31
WAS,6,SF,27

DET,40,GB,10
DAL,31,OAK,24
BAL,22,PIT,20
IND,22,TEN,14
PHI,24,ARI,21
NYJ,3,MIA,23
MIN,23,CHI,20
HOU,31,NE,34
CAR,27,TB,6
CLE,28,JAC,32
BUF,31,ATL,34
SF,23,STL,13
KC,28,DEN,35
SD,10,CIN,17
WAS,17,NYG,24
SEA,34,NO,7

JAC,27,HOU,20
CIN,42,IND,28
NE,27,CLE,26
NYJ,37,OAK,27
WAS,10,KC,45
BAL,29,MIN,26
GB,22,ATL,21
TB,27,BUF,6
PIT,28,MIA,34
PHI,34,DET,20
DEN,51,TEN,28
ARI,30,STL,10
SF,19,SEA,17
SD,37,NYG,14
NO,31,CAR,13
CHI,45,DAL,28

DEN,20,SD,27
ATL,27,WAS,26
TB,14,SF,33
NYG,0,SEA,23
MIN,48,PHI,30
MIA,24,NE,20
JAC,20,BUF,27
IND,25,HOU,3
CLE,31,CHI,38
OAK,31,KC,56
CAR,30,NYJ,20
DAL,36,GB,37
TEN,34,ARI,37
STL,27,NO,16
PIT,30,CIN,20
DET,16,BAL,18

BUF,19,MIA,0
CIN,42,MIN,14
HOU,13,DEN,37
JAC,16,TEN,20
NYJ,24,CLE,13
CAR,17,NO,13
KC,7,IND,23
WAS,23,DAL,24
STL,23,TB,13
DET,20,NYG,23
SEA,10,ARI,17
SD,26,OAK,13
GB,31,PIT,38
BAL,7,NE,41
PHI,54,CHI,11
SF,34,ATL,24

PIT,20,CLE,7
NYG,20,WAS,6
CIN,34,BAL,17
TEN,16,HOU,10
IND,30,JAC,10
MIA,7,NYJ,20
MIN,14,DET,13
ATL,20,CAR,21
NO,42,TB,17
NE,34,BUF,20
SEA,27,STL,9
CHI,28,GB,33
ARI,20,SF,23
OAK,14,DEN,34
SD,27,KC,24
DAL,22,PHI,24

2014

SEA,36,GB,16
HOU,17,WAS,6
KC,10,TEN,26
MIA,33,NE,20
NYJ,19,OAK,14
PHI,34,JAC,17
PIT,30,CLE,27
STL,6,MIN,34
CHI,20,BUF,23
BAL,16,CIN,23
ATL,37,NO,34
TB,14,CAR,20
DAL,17,SF,28
DEN,31,IND,24
DET,35,NYG,14
ARI,18,SD,17

BAL,26,PIT,6
BUF,29,MIA,10
WAS,41,JAC,10
TEN,10,DAL,26
NYG,14,ARI,25
MIN,7,NE,30
CLE,26,NO,24
CIN,24,ATL,10
CAR,24,DET,7
TB,17,STL,19
SD,30,SEA,21
OAK,14,HOU,30
GB,31,NYJ,24
DEN,24,KC,17
SF,20,CHI,28
IND,27,PHI,30

ATL,56,TB,14
BUF,10,SD,22
STL,31,DAL,34
PHI,37,WAS,34
NYG,30,HOU,17
NO,20,MIN,9
CIN,33,TEN,7
CLE,21,BAL,23
DET,19,GB,7
JAC,17,IND,44
NE,16,OAK,9
ARI,23,SF,14
SEA,26,DEN,20
MIA,15,KC,34
CAR,19,PIT,37
NYJ,19,CHI,27

WAS,14,NYG,45
CHI,17,GB,38
HOU,23,BUF,17
IND,41,TEN,17
BAL,38,CAR,10
NYJ,17,DET,24
PIT,24,TB,27
OAK,14,MIA,38
SD,33,JAC,14
SF,26,PHI,21
MIN,41,ATL,28
DAL,38,NO,17
KC,41,NE,14

GB,42,MIN,10
CAR,31,CHI,24
TEN,28,CLE,29
PHI,34,STL,28
NYG,30,ATL,20
NO,37,TB,31
DAL,20,HOU,17
DET,14,BUF,17
IND,20,BAL,13
JAC,9,PIT,17
DEN,41,ARI,20
SF,22,KC,17
SD,31,NYJ,0
NE,43,CIN,17
WAS,17,SEA,27

HOU,28,IND,33
CLE,31,PIT,10
BUF,22,NE,37
CIN,37,CAR,37
TEN,16,JAC,14
MIA,24,GB,27
MIN,3,DET,17
NYJ,17,DEN,31
TB,17,BAL,48
OAK,28,SD,31
ATL,13,CHI,27
SEA,23,DAL,30
ARI,30,WAS,20
PHI,27,NYG,0
STL,17,SF,31

NE,27,NYJ,25
BAL,29,ATL,7
WAS,19,TEN,17
STL,28,SEA,26
JAC,24,CLE,6
IND,27,CIN,0
BUF,17,MIN,16
CHI,14,MIA,27
DET,24,NO,23
GB,38,CAR,17
SD,20,KC,23
OAK,13,ARI,24
DAL,31,NYG,21
DEN,42,SF,17
PIT,30,HOU,23


DEN,35,SD,21
ATL,21,DET,22
TB,13,MIN,19
NYJ,23,BUF,43
NE,51,CHI,23
CAR,9,SEA,13
JAC,13,MIA,27
CIN,27,BAL,24
TEN,16,HOU,30
KC,34,STL,7
ARI,24,PHI,20
PIT,51,IND,34
CLE,23,OAK,13
NO,44,GB,23
DAL,17,WAS,20

CAR,10,NO,28
CLE,22,TB,17
DAL,17,ARI,28
HOU,21,PHI,31
KC,24,NYJ,10
CIN,33,JAC,23
MIA,37,SD,0
MIN,29,WAS,26
SF,10,STL,13
NE,43,DEN,21
SEA,30,OAK,24
PIT,43,BAL,23
NYG,24,IND,40

CIN,3,CLE,24
BUF,13,KC,17
DET,20,MIA,16
JAC,17,DAL,31
NO,24,SF,27
BAL,21,TEN,7
NYJ,20,PIT,13
TB,17,ATL,27
OAK,17,DEN,41
ARI,31,STL,14
SEA,38,NYG,17
GB,55,CHI,14
PHI,45,CAR,21

MIA,22,BUF,9
CHI,21,MIN,13
CLE,7,HOU,23
CAR,17,ATL,19
NO,10,CIN,27
WAS,7,TB,27
STL,22,DEN,7
NYG,10,SF,16
KC,24,SEA,20
SD,13,OAK,6
ARI,14,DET,6
GB,53,PHI,20
IND,20,NE,42
TEN,24,PIT,27

OAK,24,KC,20
ATL,24,CLE,26
PHI,43,TEN,24
NE,34,DET,9
MIN,21,GB,24
IND,23,JAC,3
HOU,13,CIN,22
CHI,21,TB,13
SEA,19,ARI,3
SD,27,STL,24
SF,17,WAS,13
DEN,39,MIA,36
NYG,28,DAL,31
BUF,38,NYJ,3
NO,27,BAL,34

DET,34,CHI,17
DAL,10,PHI,33
SF,3,SEA,19
HOU,45,TEN,21
STL,52,OAK,0
BAL,33,SD,34
BUF,26,CLE,10
TB,13,CIN,14
IND,49,WAS,27
JAC,25,NYG,24
MIN,31,CAR,13
PIT,32,NO,35
ATL,29,ARI,18
GB,26,NE,21
KC,16,DEN,29
NYJ,13,MIA,16

CHI,28,DAL,41
CIN,21,PIT,42
WAS,0,STL,24
TEN,7,NYG,36
NO,10,CAR,41
MIN,30,NYJ,24
MIA,13,BAL,28
CLE,24,IND,25
DET,34,TB,17
JAC,13,HOU,27
DEN,24,BUF,17
ARI,17,KC,14
PHI,14,SEA,24
OAK,24,SF,13
SD,14,NE,23
GB,43,ATL,37

STL,6,ARI,12
ATL,20,PIT,27
NYG,24,WAS,13
NE,41,MIA,13
KC,31,OAK,13
IND,17,HOU,10
CLE,0,CIN,30
BAL,20,JAC,12
BUF,21,GB,13
CAR,19,TB,17
TEN,11,NYJ,16
SD,10,DEN,22
DET,16,MIN,14
SEA,17,SF,7
PHI,27,DAL,38
CHI,15,NO,31

JAC,21,TEN,13
WAS,27,PHI,24
SF,35,SD,38
HOU,25,BAL,13
TB,3,GB,20
PIT,20,KC,12
CAR,17,CLE,13
CHI,14,DET,20
MIA,37,MIN,35
NO,14,ATL,30
NYJ,16,NE,17
STL,27,NYG,37
DAL,42,IND,7
OAK,26,BUF,24
ARI,6,SEA,35
CIN,37,DEN,28

BAL,20,CLE,10
WAS,17,DAL,44
TEN,10,IND,27
TB,20,NO,23
NYG,26,PHI,34
NE,9,BUF,17
HOU,23,JAC,17
KC,19,SD,7
MIA,24,NYJ,37
MIN,13,CHI,9
DEN,47,OAK,14
SF,20,ARI,17
GB,30,DET,20
SEA,20,STL,6
ATL,3,CAR,34
PIT,27,CIN,17
